               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.022959,            0.054068,                   0,             0.77077,             0.64889,             0.70839,             0.42289,            0.040335,             0.10356,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.023041,            0.053703,                   0,             0.78056,             0.64447,             0.70962,             0.42382,            0.040204,             0.10266,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.023011,            0.053756,                   0,             0.78459,             0.64235,             0.70905,             0.42406,            0.040078,             0.10233,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.022587,            0.052744,                   0,             0.78799,             0.64254,             0.70935,             0.42469,            0.039992,             0.10241,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.022873,            0.053335,                   0,             0.78488,              0.6435,             0.70981,             0.42538,            0.039956,             0.10245,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.022498,            0.052367,                   0,             0.78144,             0.64281,             0.70937,             0.42567,            0.039933,             0.10253,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.018144,            0.034782,                   0,             0.77739,             0.64447,             0.70653,             0.42428,            0.040202,             0.10902,                   0,            0.001354,            0.001354,            0.001354
                 133,              0.0182,            0.033338,                   0,             0.78275,             0.63484,             0.70329,             0.42268,            0.040579,             0.11565,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.017856,            0.032865,                   0,             0.79779,             0.62201,             0.70059,             0.42258,             0.04087,             0.12087,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.017943,            0.032748,                   0,             0.78242,             0.63198,             0.69899,             0.42236,            0.041125,             0.12527,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.018272,            0.034464,                   0,              0.8033,             0.61867,             0.69781,              0.4215,            0.041317,             0.12815,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.018329,            0.034236,                   0,             0.80672,             0.61655,             0.69741,             0.42157,            0.041434,             0.13033,                   0,            0.001024,            0.001024,            0.001024
                 138,             0.01924,            0.037825,                   0,             0.80514,             0.61848,             0.69789,             0.42143,            0.041465,             0.13024,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.019098,            0.037631,                   0,             0.80445,             0.62002,             0.69711,             0.42076,            0.041524,             0.13024,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.019518,            0.039581,                   0,             0.80293,             0.62113,             0.69808,             0.42086,            0.041556,              0.1297,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.019469,            0.039781,                   0,             0.80363,              0.6206,             0.69843,             0.42078,            0.041579,             0.12921,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.016911,             0.02959,                   0,             0.79235,             0.62432,             0.69734,             0.42085,            0.041705,             0.13173,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.017087,             0.02885,                   0,             0.80101,              0.6206,             0.69589,             0.41986,             0.04189,             0.13479,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.016813,            0.028692,                   0,             0.80303,             0.62152,             0.69477,             0.41974,            0.042041,             0.13744,                   0,            0.000562,            0.000562,            0.000562
                 145,              0.0169,            0.028846,                   0,             0.79816,             0.62021,             0.69289,             0.41925,            0.042184,             0.13987,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.017228,            0.030401,                   0,             0.79464,             0.62193,             0.69283,             0.41888,            0.042282,             0.14172,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.017293,            0.030202,                   0,             0.79832,             0.62137,             0.69279,             0.41909,            0.042352,             0.14308,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.018141,            0.033249,                   0,             0.80049,             0.62171,             0.69309,             0.41879,             0.04238,             0.14332,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.018099,            0.033542,                   0,             0.80267,             0.62156,             0.69337,              0.4187,            0.042402,             0.14311,                   0,            0.000232,            0.000232,            0.000232
