                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.99747,                0.57241,                0.98179,                0.83381,                0.73459,                0.80992,                0.52828,                 1.1744,                0.79365,                 1.0353,               0.001354,               0.001354,               0.001354
                    133,                0.99406,                0.56805,                0.98181,                0.83274,                0.73539,                0.81055,                0.52883,                 1.1732,                0.79671,                 1.0349,               0.001288,               0.001288,               0.001288
                    134,                0.98509,                0.56548,                0.97939,                0.83508,                0.73343,                0.81021,                0.52909,                 1.1729,                0.79107,                 1.0351,               0.001222,               0.001222,               0.001222
                    135,                0.99169,                0.56644,                0.97859,                0.83386,                0.73418,                0.81002,                0.52868,                 1.1727,                0.79386,                 1.0349,               0.001156,               0.001156,               0.001156
                    136,                0.98456,                 0.5648,                0.97654,                 0.8322,                0.73491,                0.81066,                0.52877,                 1.1727,                0.79358,                 1.0351,                0.00109,                0.00109,                0.00109
                    137,                0.97924,                0.56251,                0.97838,                0.83724,                0.73411,                0.81069,                0.52856,                 1.1727,                0.79797,                 1.0351,               0.001024,               0.001024,               0.001024
                    138,                0.98715,                0.56312,                0.97722,                0.83681,                0.73347,                0.81063,                0.52913,                 1.1725,                0.79653,                 1.0352,               0.000958,               0.000958,               0.000958
                    139,                0.97682,                0.55842,                0.97462,                0.83905,                0.73094,                0.81073,                 0.5294,                  1.172,                0.79392,                 1.0353,               0.000892,               0.000892,               0.000892
                    140,                0.96115,                0.53245,                0.96796,                0.83914,                0.73172,                 0.8111,                0.52897,                 1.1724,                0.78958,                 1.0355,               0.000826,               0.000826,               0.000826
                    141,                0.93049,                0.51274,                0.95482,                0.83835,                0.73129,                0.81034,                0.52868,                 1.1727,                0.78074,                 1.0359,                0.00076,                0.00076,                0.00076
                    142,                0.92221,                0.50656,                0.95346,                0.83565,                0.73379,                0.80995,                0.52827,                 1.1726,                0.77554,                  1.036,               0.000694,               0.000694,               0.000694
                    143,                0.91697,                0.50441,                0.95226,                0.83569,                0.73235,                0.80954,                0.52855,                 1.1729,                0.77705,                 1.0367,               0.000628,               0.000628,               0.000628
                    144,                0.91226,                0.50168,                0.94954,                0.83722,                0.73219,                0.80921,                0.52814,                 1.1735,                0.77742,                 1.0378,               0.000562,               0.000562,               0.000562
                    145,                0.90485,                0.49675,                0.94701,                0.83384,                0.73327,                0.80943,                0.52881,                 1.1735,                0.77482,                  1.038,               0.000496,               0.000496,               0.000496
                    146,                0.90901,                0.50061,                0.94907,                0.83412,                0.73379,                0.80948,                0.52833,                 1.1735,                0.76994,                 1.0381,                0.00043,                0.00043,                0.00043
                    147,                0.90567,                0.49677,                0.94782,                0.83155,                0.73539,                0.80979,                0.52824,                 1.1738,                0.76878,                 1.0382,               0.000364,               0.000364,               0.000364
                    148,                0.89478,                0.49066,                0.94276,                0.83086,                0.73491,                 0.8095,                0.52865,                  1.174,                0.76516,                 1.0387,               0.000298,               0.000298,               0.000298
                    149,                0.91868,                0.50635,                0.95327,                0.83206,                0.73504,                0.80974,                0.52817,                 1.1741,                0.76502,                 1.0384,               0.000232,               0.000232,               0.000232
